dataset	species	slope	intercept
amyl_Sanchez-Gorostiaga2019.csv	C	-0.258487570185532	0.52909976090266
amyl_Sanchez-Gorostiaga2019.csv	E	-0.108066301263916	2.88870687198126
amyl_Sanchez-Gorostiaga2019.csv	M	-0.162918937521562	4.50047714969425
amyl_Sanchez-Gorostiaga2019.csv	P	-0.303817301873894	16.1791843699374
amyl_Sanchez-Gorostiaga2019.csv	S	0.338120866373024	5.14706778327099
amyl_Sanchez-Gorostiaga2019.csv	T	-0.364647473861886	9.66326797500262
butyrate_Clark2021.csv	AC	-0.757716291717812	32.2079495574946
butyrate_Clark2021.csv	BA	-0.074458539203133	-0.464360173719902
butyrate_Clark2021.csv	BC	-0.338411749034204	-1.4482264409687
butyrate_Clark2021.csv	BF	-0.318707966312878	0.87896312755816
butyrate_Clark2021.csv	BH	-0.0153324895023508	0.991036212206885
butyrate_Clark2021.csv	BL	-0.173960640818294	-1.07219616458132
butyrate_Clark2021.csv	BO	0.0199953203286985	-0.683266187091916
butyrate_Clark2021.csv	BP	-0.192219141545609	-0.90946705174942
butyrate_Clark2021.csv	BT	-0.13964401726144	-2.79803018049224
butyrate_Clark2021.csv	BU	-0.182498767869903	1.89522291263658
butyrate_Clark2021.csv	BV	-0.471687108767326	-0.328517116441243
butyrate_Clark2021.csv	BY	0.0344540249979283	-2.60173928425351
butyrate_Clark2021.csv	CA	0.0964274463435548	2.89613326286667
butyrate_Clark2021.csv	CC	-0.207857918531588	12.4607670555528
butyrate_Clark2021.csv	CG	0.248712432046897	-2.8101460766602
butyrate_Clark2021.csv	CH	0.175051916134751	-0.558472904823131
butyrate_Clark2021.csv	DF	-0.0610992153661999	1.70374880299087
butyrate_Clark2021.csv	DL	0.0435611353230632	-5.74143718898381
butyrate_Clark2021.csv	DP	-0.574202253233293	7.20966109771469
butyrate_Clark2021.csv	EL	0.150670462132446	-1.59785821919988
butyrate_Clark2021.csv	ER	-0.437157358411183	12.7133733392472
butyrate_Clark2021.csv	FP	-0.142119205637622	2.40355929157205
butyrate_Clark2021.csv	PC	-0.109132206067224	-1.69285947285369
butyrate_Clark2021.csv	PJ	-0.225891887625274	3.77690116774051
butyrate_Clark2021.csv	RI	-0.311761668300507	9.01143287498294
phytoplankton-biomass_Ghedini2022.csv	A	-0.572687051197498	0.0321947430731066
phytoplankton-biomass_Ghedini2022.csv	D	-0.449462257402657	0.0682011838826252
phytoplankton-biomass_Ghedini2022.csv	S	-1.97431968859076	1.59372994238106
phytoplankton-biomass_Ghedini2022.csv	T	-0.700540585553512	0.0440233902718551
phytoplankton-biomass_Ghedini2022.csv	Ti	-0.689060553060219	0.313688069111814
plant-biommass_Kuebbing2016_all.csv	as.nat	-0.519184241908728	2.16120020267841
plant-biommass_Kuebbing2016_all.csv	fa.nat	-1.22195987866753	6.13965950229121
plant-biommass_Kuebbing2016_all.csv	la.nat	-0.339425867688755	1.34611407364431
plant-biommass_Kuebbing2016_all.csv	po.nat	-0.653776756523611	3.53539232760909
xylose_Langenheder2010.csv	SL104	-1.17400722524533	1.26883472780227
xylose_Langenheder2010.csv	SL106	-0.189147482109134	0.127641989519571
xylose_Langenheder2010.csv	SL187	-0.486341548648779	0.524872829461847
xylose_Langenheder2010.csv	SL197	-0.344776079904764	0.249235971087294
xylose_Langenheder2010.csv	SL68	-0.407944970362813	0.394127818539053
xylose_Langenheder2010.csv	SLWC2	-0.259343055240942	0.216086553147309
plant-biommass_Kuebbing2016_all.csv	as.inv	-0.358941924638818	1.23904345752716
plant-biommass_Kuebbing2016_all.csv	fa.inv	-2.47552301949815	12.1425797174885
plant-biommass_Kuebbing2016_all.csv	la.inv	-0.315378879161077	1.58382336093393
plant-biommass_Kuebbing2016_all.csv	po.inv	-0.300286924135208	1.33971403170817
pyo	sp_1	-0.448338639115149	10.5880805564956
pyo	sp_2	-0.539415747528588	21.5928284833046
pyo	sp_3	-0.487977095526703	11.0112166793169
pyo	sp_4	-0.380675223786143	14.5075275083526
pyo	sp_5	-0.47666005190223	14.6784525292241
pyo	sp_6	-0.42263130415136	9.84571840509978
pyo	sp_7	-0.728691214343183	34.6651262095381
pyo	sp_8	-0.310573213028376	12.8647195511594
khan	g	-0.157995530209618	0.208723406673859
khan	p	0.278207187311784	-0.246752308773338
khan	r	-0.058044952275014	0.0758956614020598
khan	s	-0.243054005821915	0.369666259296936
khan	t	-0.275337800808076	0.414116196674717
amyl_Sanchez-Gorostiaga2019.csv	P_0	8.07857435073686	9.34561906883511
amyl_Sanchez-Gorostiaga2019.csv	P_1	3.66361314001288	-27.8453232626926
