dataset	background	species_i	species_j	deltaF_j	eps_ij
amyl_Sanchez-Gorostiaga2019.csv		C	E	0	0.497554983536475
amyl_Sanchez-Gorostiaga2019.csv		C	M	2.60510350865721	-2.60510350865721
amyl_Sanchez-Gorostiaga2019.csv		C	S	1.49481754514853	0.45865844142605
amyl_Sanchez-Gorostiaga2019.csv		C	T	7.97124445026975	0.612834344846161
amyl_Sanchez-Gorostiaga2019.csv		C	P	0.339957610763573	2.52776901911999
amyl_Sanchez-Gorostiaga2019.csv		E	C	0	0.497554983536475
amyl_Sanchez-Gorostiaga2019.csv		E	M	2.60510350865721	-1.07740044617138
amyl_Sanchez-Gorostiaga2019.csv		E	S	1.49481754514853	-0.10951938027812
amyl_Sanchez-Gorostiaga2019.csv		E	T	7.97124445026975	3.30712690004425
amyl_Sanchez-Gorostiaga2019.csv		E	P	0.339957610763573	16.2289027256401
amyl_Sanchez-Gorostiaga2019.csv		M	C	0	-2.60510350865721
amyl_Sanchez-Gorostiaga2019.csv		M	E	0	-1.07740044617138
amyl_Sanchez-Gorostiaga2019.csv		M	S	1.49481754514853	-2.40891585270385
amyl_Sanchez-Gorostiaga2019.csv		M	T	7.97124445026975	0.648207693741242
amyl_Sanchez-Gorostiaga2019.csv		M	P	0.339957610763573	19.5910477790264
amyl_Sanchez-Gorostiaga2019.csv		S	C	0	0.45865844142605
amyl_Sanchez-Gorostiaga2019.csv		S	E	0	-0.10951938027812
amyl_Sanchez-Gorostiaga2019.csv		S	M	2.60510350865721	-2.40891585270385
amyl_Sanchez-Gorostiaga2019.csv		S	T	7.97124445026975	1.96267739097562
amyl_Sanchez-Gorostiaga2019.csv		S	P	0.339957610763573	31.5796277085905
amyl_Sanchez-Gorostiaga2019.csv		T	C	0	0.612834344846161
amyl_Sanchez-Gorostiaga2019.csv		T	E	0	3.30712690004425
amyl_Sanchez-Gorostiaga2019.csv		T	M	2.60510350865721	0.648207693741242
amyl_Sanchez-Gorostiaga2019.csv		T	S	1.49481754514853	1.96267739097562
amyl_Sanchez-Gorostiaga2019.csv		T	P	0.339957610763573	7.50893174174208
amyl_Sanchez-Gorostiaga2019.csv		P	C	0	2.52776901911999
amyl_Sanchez-Gorostiaga2019.csv		P	E	0	16.2289027256401
amyl_Sanchez-Gorostiaga2019.csv		P	M	2.60510350865721	19.5910477790264
amyl_Sanchez-Gorostiaga2019.csv		P	S	1.49481754514853	31.5796277085905
amyl_Sanchez-Gorostiaga2019.csv		P	T	7.97124445026975	7.50893174174208
butyrate_Clark2021.csv		ER	FP	0.383275	-9.91444205882353
butyrate_Clark2021.csv		ER	AC	33.504425	-20.3726720588235
butyrate_Clark2021.csv		ER	CC	16.9345227272727	-13.0221572860963
butyrate_Clark2021.csv		ER	RI	19.8913785714286	-26.9516422969188
butyrate_Clark2021.csv		ER	DP	0.1525	-2.43844705882353
butyrate_Clark2021.csv		ER	BH	0	12.6184196078431
butyrate_Clark2021.csv		ER	CA	0	4.40755294117647
butyrate_Clark2021.csv		ER	PC	0.250142857142857	-10.1187565826331
butyrate_Clark2021.csv		ER	DL	0	-12.5842137254902
butyrate_Clark2021.csv		ER	CG	0	-0.340947058823527
butyrate_Clark2021.csv		ER	BF	0	-4.7819137254902
butyrate_Clark2021.csv		ER	EL	0	-1.84199705882353
butyrate_Clark2021.csv		ER	CH	0.239883333333333	6.26201960784314
butyrate_Clark2021.csv		ER	BO	0	-5.57518039215686
butyrate_Clark2021.csv		ER	BT	0	-14.2411137254902
butyrate_Clark2021.csv		ER	BU	0	-0.828880392156861
butyrate_Clark2021.csv		ER	BV	0	-15.8405470588235
butyrate_Clark2021.csv		ER	BC	0	-14.4036970588235
butyrate_Clark2021.csv		ER	BY	0	-0.512713725490194
butyrate_Clark2021.csv		ER	PJ	0	7.18050294117647
butyrate_Clark2021.csv		ER	DF	0.2830875	-0.139667892156861
butyrate_Clark2021.csv		ER	BL	0	-10.1038470588235
butyrate_Clark2021.csv		ER	BP	0	-7.91189705882353
butyrate_Clark2021.csv		ER	BA	0	-14.8312137254902
butyrate_Clark2021.csv		FP	ER	19.9075470588235	-9.91444205882353
butyrate_Clark2021.csv		FP	AC	33.504425	-0.635419999999996
butyrate_Clark2021.csv		FP	CC	16.9345227272727	1.11336477272727
butyrate_Clark2021.csv		FP	RI	19.8913785714286	-5.45875357142857
butyrate_Clark2021.csv		FP	DP	0.1525	4.498425
butyrate_Clark2021.csv		FP	BH	0	0.985275
butyrate_Clark2021.csv		FP	CA	0	5.393125
butyrate_Clark2021.csv		FP	PC	0.250142857142857	-0.633417857142857
butyrate_Clark2021.csv		FP	DL	0	-0.033825
butyrate_Clark2021.csv		FP	CG	0	0.612975
butyrate_Clark2021.csv		FP	BF	0	3.20535833333333
butyrate_Clark2021.csv		FP	EL	0	-0.383275
butyrate_Clark2021.csv		FP	CH	0.239883333333333	-0.623158333333333
butyrate_Clark2021.csv		FP	BO	0	2.84315833333333
butyrate_Clark2021.csv		FP	BT	0	0.285658333333333
butyrate_Clark2021.csv		FP	BU	0	8.454825
butyrate_Clark2021.csv		FP	BV	0	-0.383275
butyrate_Clark2021.csv		FP	BC	0	-0.317641666666667
butyrate_Clark2021.csv		FP	BY	0	NA
butyrate_Clark2021.csv		FP	PJ	0	6.229375
butyrate_Clark2021.csv		FP	DF	0.2830875	6.1877375
butyrate_Clark2021.csv		FP	BL	0	-0.383275
butyrate_Clark2021.csv		FP	BP	0	-0.383275
butyrate_Clark2021.csv		FP	BA	0	0.0537583333333333
butyrate_Clark2021.csv		AC	ER	19.9075470588235	-20.3726720588235
butyrate_Clark2021.csv		AC	FP	0.383275	-0.635419999999996
butyrate_Clark2021.csv		AC	CC	16.9345227272727	-2.41987272727273
butyrate_Clark2021.csv		AC	RI	19.8913785714286	-27.7856464285714
butyrate_Clark2021.csv		AC	DP	0.1525	-6.211875
butyrate_Clark2021.csv		AC	BH	0	0.504041666666666
butyrate_Clark2021.csv		AC	CA	0	2.53224166666667
butyrate_Clark2021.csv		AC	PC	0.250142857142857	0.136598809523811
butyrate_Clark2021.csv		AC	DL	0	9.127275
butyrate_Clark2021.csv		AC	CG	0	14.7316083333333
butyrate_Clark2021.csv		AC	BF	0	3.788575
butyrate_Clark2021.csv		AC	EL	0	-0.287525000000002
butyrate_Clark2021.csv		AC	CH	0.239883333333333	5.25169166666667
butyrate_Clark2021.csv		AC	BO	0	8.38410833333334
butyrate_Clark2021.csv		AC	BT	0	1.343575
butyrate_Clark2021.csv		AC	BU	0	-0.829674999999995
butyrate_Clark2021.csv		AC	BV	0	0.546275000000001
